log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
2.05,2.225,2.4,-0.95,-0.925,-0.9,8.196386728012496e-06
2.05,2.225,2.4,-0.9,-0.875,-0.85,8.58771605119455e-06
2.05,2.225,2.4,-0.85,-0.825,-0.8,8.710438476937321e-06
2.05,2.225,2.4,-0.8,-0.775,-0.75,8.924823095854066e-06
2.05,2.225,2.4,-0.75,-0.725,-0.7,8.436873143182781e-06
2.05,2.225,2.4,-0.7,-0.675,-0.65,7.782788831111132e-06
2.05,2.225,2.4,-0.65,-0.625,-0.6,6.980180024473389e-06
2.05,2.225,2.4,-0.6,-0.575,-0.55,6.5655099355077135e-06
2.05,2.225,2.4,-0.55,-0.525,-0.5,6.26281922421338e-06
2.05,2.225,2.4,-0.5,-0.475,-0.45,6.023360307735797e-06
2.05,2.225,2.4,-0.45,-0.425,-0.4,5.828786638371301e-06
2.05,2.225,2.4,-0.4,-0.375,-0.35,5.661395510339498e-06
2.05,2.225,2.4,-0.35,-0.325,-0.3,5.519381873566138e-06
2.05,2.225,2.4,-0.3,-0.275,-0.25,5.392642535924804e-06
2.05,2.225,2.4,-0.25,-0.225,-0.2,5.270735139491426e-06
2.05,2.225,2.4,-0.2,-0.175,-0.15,5.15764938719436e-06
2.05,2.225,2.4,-0.15,-0.125,-0.1,5.032509545186151e-06
2.05,2.225,2.4,-0.1,-0.075,-0.05,4.895388380372371e-06
2.05,2.225,2.4,-0.05,-0.025,0.0,4.78934611246392e-06
2.05,2.225,2.4,0.0,0.025,0.05,4.667502814194688e-06
2.05,2.225,2.4,0.05,0.075,0.1,4.588742499422545e-06
2.05,2.225,2.4,0.1,0.125,0.15,4.5145108339073785e-06
2.05,2.225,2.4,0.15,0.175,0.2,4.446894377406656e-06
2.05,2.225,2.4,0.2,0.225,0.25,4.424597301969239e-06
2.05,2.225,2.4,0.25,0.275,0.3,4.37066785495274e-06
2.05,2.225,2.4,0.3,0.325,0.35,4.307939268194297e-06
2.05,2.225,2.4,0.35,0.375,0.4,4.2289185512082095e-06
2.05,2.225,2.4,0.4,0.425,0.45,4.14224771897404e-06
2.05,2.225,2.4,0.45,0.475,0.5,4.078958549191163e-06
2.05,2.225,2.4,0.5,0.525,0.55,4.02470532426169e-06
2.05,2.225,2.4,0.55,0.575,0.6,3.976707925507288e-06
2.05,2.225,2.4,0.6,0.625,0.65,3.863395457477228e-06
2.05,2.225,2.4,0.65,0.675,0.7,3.7047993982868323e-06
2.05,2.225,2.4,0.7,0.725,0.75,3.410466430953365e-06
2.05,2.225,2.4,0.75,0.775,0.8,2.930822331424824e-06
2.05,2.225,2.4,0.8,0.825,0.85,2.2781907766072104e-06
2.05,2.225,2.4,0.85,0.875,0.9,1.0202682595195992e-06
2.05,2.225,2.4,0.9,0.925,0.95,0.0
2.05,2.225,2.4,0.95,0.975,1.0,0.0
2.4,2.575,2.75,-1.0,-0.975,-0.95,1.1864705831799778e-05
2.4,2.575,2.75,-0.95,-0.925,-0.9,1.2569592686632677e-05
2.4,2.575,2.75,-0.9,-0.875,-0.85,1.3168562228031678e-05
2.4,2.575,2.75,-0.85,-0.825,-0.8,1.3985318659218374e-05
2.4,2.575,2.75,-0.8,-0.775,-0.75,1.3990155284400376e-05
2.4,2.575,2.75,-0.75,-0.725,-0.7,1.372688566970106e-05
2.4,2.575,2.75,-0.7,-0.675,-0.65,1.247224281198725e-05
2.4,2.575,2.75,-0.65,-0.625,-0.6,1.0998883760817112e-05
2.4,2.575,2.75,-0.6,-0.575,-0.55,1.027064399889996e-05
2.4,2.575,2.75,-0.55,-0.525,-0.5,9.756883320518748e-06
2.4,2.575,2.75,-0.5,-0.475,-0.45,9.36431993074708e-06
2.4,2.575,2.75,-0.45,-0.425,-0.4,9.060917815933927e-06
2.4,2.575,2.75,-0.4,-0.375,-0.35,8.819662845138437e-06
2.4,2.575,2.75,-0.35,-0.325,-0.3,8.633523290187332e-06
2.4,2.575,2.75,-0.3,-0.275,-0.25,8.476668897505881e-06
2.4,2.575,2.75,-0.25,-0.225,-0.2,8.310268695390331e-06
2.4,2.575,2.75,-0.2,-0.175,-0.15,8.174043633618469e-06
2.4,2.575,2.75,-0.15,-0.125,-0.1,8.037030645811614e-06
2.4,2.575,2.75,-0.1,-0.075,-0.05,7.958643735797234e-06
2.4,2.575,2.75,-0.05,-0.025,0.0,7.820686166933236e-06
2.4,2.575,2.75,0.0,0.025,0.05,7.680880688091014e-06
2.4,2.575,2.75,0.05,0.075,0.1,7.553821307880022e-06
2.4,2.575,2.75,0.1,0.125,0.15,7.446104206730945e-06
2.4,2.575,2.75,0.15,0.175,0.2,7.3961571645740195e-06
2.4,2.575,2.75,0.2,0.225,0.25,7.277900501728666e-06
2.4,2.575,2.75,0.25,0.275,0.3,7.218832127795887e-06
2.4,2.575,2.75,0.3,0.325,0.35,7.17615942878509e-06
2.4,2.575,2.75,0.35,0.375,0.4,7.049392813240185e-06
2.4,2.575,2.75,0.4,0.425,0.45,6.9449710877420435e-06
2.4,2.575,2.75,0.45,0.475,0.5,6.986548994808165e-06
2.4,2.575,2.75,0.5,0.525,0.55,6.878373244954774e-06
2.4,2.575,2.75,0.55,0.575,0.6,6.839869838768052e-06
