log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
3.100,3.275,3.450,-3.4398730473169126,0.0
3.100,3.275,3.450,-3.4367438464639344,0.0
3.100,3.275,3.450,-3.433614645610956,0.0
3.100,3.275,3.450,-3.430485444757978,0.0
3.100,3.275,3.450,-3.427356243905,0.0
3.100,3.275,3.450,-3.4242270430520216,0.0
3.100,3.275,3.450,-3.4210978421990434,0.0
3.100,3.275,3.450,-3.4179686413460653,0.0
3.100,3.275,3.450,-3.4148394404930875,0.0
3.100,3.275,3.450,-3.4117102396401093,0.0
3.100,3.275,3.450,-3.408581038787131,0.0
3.100,3.275,3.450,-3.405451837934153,0.0
3.100,3.275,3.450,-3.4023226370811748,0.0
3.100,3.275,3.450,-3.3991934362281966,0.0
3.100,3.275,3.450,-3.3960642353752184,0.0
3.100,3.275,3.450,-3.39293503452224,0.0
3.100,3.275,3.450,-3.3898058336692625,0.0
3.100,3.275,3.450,-3.3866766328162843,0.0
3.100,3.275,3.450,-3.383547431963306,0.0
3.100,3.275,3.450,-3.380418231110328,0.0
3.100,3.275,3.450,-3.3772890302573497,0.0
3.100,3.275,3.450,-3.3741598294043715,0.0
3.100,3.275,3.450,-3.3710306285513933,0.0
3.100,3.275,3.450,-3.367901427698415,0.0
3.100,3.275,3.450,-3.364772226845437,0.0
3.100,3.275,3.450,-3.361643025992459,0.0
3.100,3.275,3.450,-3.3585138251394806,0.0
3.100,3.275,3.450,-3.3553846242865024,0.0
3.100,3.275,3.450,-3.3522554234335242,0.0
3.100,3.275,3.450,-3.3491262225805465,0.0
3.100,3.275,3.450,-3.3459970217275683,0.0
3.100,3.275,3.450,-3.34286782087459,0.0
3.100,3.275,3.450,-3.339738620021612,0.0
3.100,3.275,3.450,-3.3366094191686337,0.0
3.100,3.275,3.450,-3.3334802183156556,0.0
3.100,3.275,3.450,-3.3303510174626774,0.0
3.100,3.275,3.450,-3.3272218166096996,0.0
3.100,3.275,3.450,-3.3240926157567214,0.0
3.100,3.275,3.450,-3.3209634149037432,0.0
3.100,3.275,3.450,-3.317834214050765,0.0
3.100,3.275,3.450,-3.314705013197787,0.0
3.100,3.275,3.450,-3.3115758123448087,0.0
3.100,3.275,3.450,-3.3084466114918305,0.0
3.100,3.275,3.450,-3.3053174106388523,0.0
3.100,3.275,3.450,-3.302188209785874,0.0
3.100,3.275,3.450,-3.299059008932896,0.0
3.100,3.275,3.450,-3.2959298080799178,0.0
3.100,3.275,3.450,-3.2928006072269396,0.0
3.100,3.275,3.450,-3.2896714063739614,0.0
3.100,3.275,3.450,-3.2865422055209836,0.0
3.100,3.275,3.450,-3.2834130046680055,0.0
3.100,3.275,3.450,-3.2802838038150273,0.0
3.100,3.275,3.450,-3.277154602962049,0.0
3.100,3.275,3.450,-3.274025402109071,0.0
3.100,3.275,3.450,-3.2708962012560927,0.0
3.100,3.275,3.450,-3.2677670004031145,0.0
3.100,3.275,3.450,-3.2646377995501368,0.0
3.100,3.275,3.450,-3.2615085986971586,0.0
3.100,3.275,3.450,-3.2583793978441804,0.0
3.100,3.275,3.450,-3.255250196991202,0.0
3.100,3.275,3.450,-3.252120996138224,0.0
3.100,3.275,3.450,-3.248991795285246,0.0
3.100,3.275,3.450,-3.2458625944322677,0.0
3.100,3.275,3.450,-3.2427333935792895,0.0
3.100,3.275,3.450,-3.2396041927263113,0.0
3.100,3.275,3.450,-3.236474991873333,0.0
3.100,3.275,3.450,-3.233345791020355,0.0
3.100,3.275,3.450,-3.2302165901673767,0.0
3.100,3.275,3.450,-3.2270873893143985,0.0
3.100,3.275,3.450,-3.223958188461421,0.0
