log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,cos(zen) low,cos(zen) center,cos(zen) high,aeff [m^2]
2.75,2.925,3.1,-0.45,-0.425,-0.4,0.20100855875324508
2.75,2.925,3.1,-0.4,-0.375,-0.35,0.19662597073130128
2.75,2.925,3.1,-0.35,-0.325,-0.3,0.1906385865950003
2.75,2.925,3.1,-0.3,-0.275,-0.25,0.19647120327524417
2.75,2.925,3.1,-0.25,-0.225,-0.2,0.19491353705807635
2.75,2.925,3.1,-0.2,-0.175,-0.15,0.19527592087788764
2.75,2.925,3.1,-0.15,-0.125,-0.1,0.1939917717408274
2.75,2.925,3.1,-0.1,-0.075,-0.05,0.18423952905389313
2.75,2.925,3.1,-0.05,-0.025,0.0,0.18559090785498183
2.75,2.925,3.1,0.0,0.025,0.05,0.17948011074992376
2.75,2.925,3.1,0.05,0.075,0.1,0.1656103470366534
2.75,2.925,3.1,0.1,0.125,0.15,0.15459760272772166
2.75,2.925,3.1,0.15,0.175,0.2,0.0
2.75,2.925,3.1,0.2,0.225,0.25,0.0
2.75,2.925,3.1,0.25,0.275,0.3,0.0
2.75,2.925,3.1,0.3,0.325,0.35,0.0
2.75,2.925,3.1,0.35,0.375,0.4,0.0
2.75,2.925,3.1,0.4,0.425,0.45,0.0
2.75,2.925,3.1,0.45,0.475,0.5,0.0
2.75,2.925,3.1,0.5,0.525,0.55,0.0
2.75,2.925,3.1,0.55,0.575,0.6,0.0
2.75,2.925,3.1,0.6,0.625,0.65,0.0
2.75,2.925,3.1,0.65,0.675,0.7,0.0
2.75,2.925,3.1,0.7,0.725,0.75,0.0
2.75,2.925,3.1,0.75,0.775,0.8,0.0
2.75,2.925,3.1,0.8,0.825,0.85,0.0
2.75,2.925,3.1,0.85,0.875,0.9,0.0
2.75,2.925,3.1,0.9,0.925,0.95,0.0
2.75,2.925,3.1,0.95,0.975,1.0,0.0
3.1,3.275,3.45,-1.0,-0.975,-0.95,0.894235165517435
3.1,3.275,3.45,-0.95,-0.925,-0.9,0.9521951661297298
3.1,3.275,3.45,-0.9,-0.875,-0.85,0.9667361354516818
3.1,3.275,3.45,-0.85,-0.825,-0.8,0.963775549984544
3.1,3.275,3.45,-0.8,-0.775,-0.75,0.9806349256772402
3.1,3.275,3.45,-0.75,-0.725,-0.7,0.9664211788662617
3.1,3.275,3.45,-0.7,-0.675,-0.65,0.9475429392928096
3.1,3.275,3.45,-0.65,-0.625,-0.6,0.9447631900757497
3.1,3.275,3.45,-0.6,-0.575,-0.55,0.940103729820707
3.1,3.275,3.45,-0.55,-0.525,-0.5,0.9262276758778841
3.1,3.275,3.45,-0.5,-0.475,-0.45,0.9102686925203163
3.1,3.275,3.45,-0.45,-0.425,-0.4,0.9041702555722434
3.1,3.275,3.45,-0.4,-0.375,-0.35,0.9388237986775524
3.1,3.275,3.45,-0.35,-0.325,-0.3,0.9327731268184619
3.1,3.275,3.45,-0.3,-0.275,-0.25,0.9816860135872185
3.1,3.275,3.45,-0.25,-0.225,-0.2,0.9633252290187853
3.1,3.275,3.45,-0.2,-0.175,-0.15,0.9544316624817106
3.1,3.275,3.45,-0.15,-0.125,-0.1,0.9594449081607613
3.1,3.275,3.45,-0.1,-0.075,-0.05,0.9315448435466938
3.1,3.275,3.45,-0.05,-0.025,0.0,0.9226371476680255
3.1,3.275,3.45,0.0,0.025,0.05,0.9418984763167604
3.1,3.275,3.45,0.05,0.075,0.1,0.8826167412352369
3.1,3.275,3.45,0.1,0.125,0.15,0.8173556536054108
3.1,3.275,3.45,0.15,0.175,0.2,0.0
3.1,3.275,3.45,0.2,0.225,0.25,0.0
3.1,3.275,3.45,0.25,0.275,0.3,0.0
