log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
1.700,1.875,2.050,-3.468035854993716,132.01815384298024
1.700,1.875,2.050,-3.4649066541407376,132.01815384335373
1.700,1.875,2.050,-3.4617774532877594,132.0181538437233
1.700,1.875,2.050,-3.4586482524347812,132.01815384408889
1.700,1.875,2.050,-3.455519051581803,132.01815384445055
1.700,1.875,2.050,-3.4523898507288253,132.01815384480832
1.700,1.875,2.050,-3.449260649875847,132.0181538451622
1.700,1.875,2.050,-3.446131449022869,132.0181538455122
1.700,1.875,2.050,-3.4430022481698908,132.01815384585836
1.700,1.875,2.050,-3.4398730473169126,132.0181538462007
1.700,1.875,2.050,-3.4367438464639344,132.01815384653926
1.700,1.875,2.050,-3.433614645610956,132.01815384687401
1.700,1.875,2.050,-3.430485444757978,132.018153847205
1.700,1.875,2.050,-3.427356243905,132.0181538475323
1.700,1.875,2.050,-3.4242270430520216,132.0181538478558
1.700,1.875,2.050,-3.4210978421990434,132.01815384817567
1.700,1.875,2.050,-3.4179686413460653,132.01815384849186
1.700,1.875,2.050,-3.4148394404930875,132.01815384880436
1.700,1.875,2.050,-3.4117102396401093,132.01815384911325
1.700,1.875,2.050,-3.408581038787131,132.01815384941852
1.700,1.875,2.050,-3.405451837934153,132.01815384972022
1.700,1.875,2.050,-3.4023226370811748,132.01815385001834
1.700,1.875,2.050,-3.3991934362281966,132.0181538503129
1.700,1.875,2.050,-3.3960642353752184,132.01815385060394
1.700,1.875,2.050,-3.39293503452224,132.01815385089148
1.700,1.875,2.050,-3.3898058336692625,132.01815385117553
1.700,1.875,2.050,-3.3866766328162843,132.0181538514561
1.700,1.875,2.050,-3.383547431963306,132.01815385173325
1.700,1.875,2.050,-3.380418231110328,132.01815385200695
1.700,1.875,2.050,-3.3772890302573497,132.01815385227727
1.700,1.875,2.050,-3.3741598294043715,132.0181538525442
1.700,1.875,2.050,-3.3710306285513933,132.01815385280776
1.700,1.875,2.050,-3.367901427698415,132.01815385306801
1.700,1.875,2.050,-3.364772226845437,132.01815385332492
1.700,1.875,2.050,-3.361643025992459,132.01815385357855
1.700,1.875,2.050,-3.3585138251394806,132.0181538538289
1.700,1.875,2.050,-3.3553846242865024,132.018153854076
1.700,1.875,2.050,-3.3522554234335242,132.01815385431985
1.700,1.875,2.050,-3.3491262225805465,132.0181538545605
1.700,1.875,2.050,-3.3459970217275683,132.01815385479793
1.700,1.875,2.050,-3.34286782087459,132.01815385503224
1.700,1.875,2.050,-3.339738620021612,132.01815385526336
1.700,1.875,2.050,-3.3366094191686337,132.01815385549136
1.700,1.875,2.050,-3.3334802183156556,132.0181538557163
1.700,1.875,2.050,-3.3303510174626774,132.0181538559381
1.700,1.875,2.050,-3.3272218166096996,132.01815385615686
1.700,1.875,2.050,-3.3240926157567214,132.01815385637255
1.700,1.875,2.050,-3.3209634149037432,132.01815385658526
1.700,1.875,2.050,-3.317834214050765,132.01815385679492
1.700,1.875,2.050,-3.314705013197787,132.01815385700164
1.700,1.875,2.050,-3.3115758123448087,132.0181538572054
1.700,1.875,2.050,-3.3084466114918305,132.0181538574062
1.700,1.875,2.050,-3.3053174106388523,132.0181538576041
1.700,1.875,2.050,-3.302188209785874,132.0181538577991
1.700,1.875,2.050,-3.299059008932896,132.0181538579912
1.700,1.875,2.050,-3.2959298080799178,132.01815385818045
1.700,1.875,2.050,-3.2928006072269396,132.0181538583669
1.700,1.875,2.050,-3.2896714063739614,132.01815385855053
1.700,1.875,2.050,-3.2865422055209836,132.01815385873135
1.700,1.875,2.050,-3.2834130046680055,132.01815385890941
1.700,1.875,2.050,-3.2802838038150273,132.01815385908472
1.700,1.875,2.050,-3.277154602962049,132.0181538592573
1.700,1.875,2.050,-3.274025402109071,132.0181538594272
1.700,1.875,2.050,-3.2708962012560927,132.01815385959438
1.700,1.875,2.050,-3.2677670004031145,132.0181538597589
1.700,1.875,2.050,-3.2646377995501368,132.0181538599208
1.700,1.875,2.050,-3.2615085986971586,132.01815386008005
1.700,1.875,2.050,-3.2583793978441804,132.0181538602367
1.700,1.875,2.050,-3.255250196991202,132.0181538603908
1.700,1.875,2.050,-3.252120996138224,132.01815386054233
1.700,1.875,2.050,-3.248991795285246,132.0181538606913
1.700,1.875,2.050,-3.2458625944322677,132.01815386083777
1.700,1.875,2.050,-3.2427333935792895,132.01815386098176
1.700,1.875,2.050,-3.2396041927263113,132.01815386112324
1.700,1.875,2.050,-3.236474991873333,132.01815386126228
1.700,1.875,2.050,-3.233345791020355,132.0181538613989
1.700,1.875,2.050,-3.2302165901673767,132.01815386153308
1.700,1.875,2.050,-3.2270873893143985,132.0181538616649
1.700,1.875,2.050,-3.223958188461421,132.01815386179433
1.700,1.875,2.050,-3.2208289876084426,132.01815386192143
1.700,1.875,2.050,-3.2176997867554644,132.01815386204618
1.700,1.875,2.050,-3.2145705859024862,132.01815386216865
1.700,1.875,2.050,-3.211441385049508,132.0181538622888
1.700,1.875,2.050,-3.20831218419653,132.01815386240673
1.700,1.875,2.050,-3.2051829833435517,132.01815386252238
1.700,1.875,2.050,-3.202053782490574,132.0181538626358
1.700,1.875,2.050,-3.1989245816375957,132.01815386274706
1.700,1.875,2.050,-3.1957953807846176,132.01815386285614
1.700,1.875,2.050,-3.1926661799316394,132.01815386296303
1.700,1.875,2.050,-3.189536979078661,132.0181538630678
1.700,1.875,2.050,-3.186407778225683,132.01815386317043
1.700,1.875,2.050,-3.183278577372705,132.01815386327098
1.700,1.875,2.050,-3.1801493765197266,132.01815386336946
1.700,1.875,2.050,-3.1770201756667484,132.01815386346587
1.700,1.875,2.050,-3.1738909748137702,132.0181538635603
1.700,1.875,2.050,-3.170761773960792,132.01815386365266
1.700,1.875,2.050,-3.167632573107814,132.01815386374304
1.700,1.875,2.050,-3.1645033722548357,132.01815386383146
1.700,1.875,2.050,-3.161374171401858,132.01815386391792
1.700,1.875,2.050,-3.1582449705488798,132.01815386400247
1.700,1.875,2.050,-3.1551157696959016,132.0181538640851
1.700,1.875,2.050,-3.1519865688429234,132.01815386416584
1.700,1.875,2.050,-3.148857367989945,132.01815386424474
1.700,1.875,2.050,-3.145728167136967,132.0181538643218
1.700,1.875,2.050,-3.142598966283989,132.018153864397
1.700,1.875,2.050,-3.139469765431011,132.01815386447043
1.700,1.875,2.050,-3.136340564578033,132.01815386454206
1.700,1.875,2.050,-3.1332113637250547,132.01815386461195
1.700,1.875,2.050,-3.1300821628720765,132.0181538646801
1.700,1.875,2.050,-3.1269529620190983,132.01815386474652
1.700,1.875,2.050,-3.12382376116612,132.01815386481124
1.700,1.875,2.050,-3.120694560313142,132.0181538648743
1.700,1.875,2.050,-3.1175653594601638,132.0181538649357
1.700,1.875,2.050,-3.1144361586071856,132.01815386499547
1.700,1.875,2.050,-3.1113069577542074,132.01815386505365
1.700,1.875,2.050,-3.108177756901229,132.0181538651102
1.700,1.875,2.050,-3.105048556048251,132.0181538651652
1.700,1.875,2.050,-3.101919355195273,132.01815386521866
1.700,1.875,2.050,-3.098790154342295,132.0181538652706
1.700,1.875,2.050,-3.095660953489317,132.018153865321
1.700,1.875,2.050,-3.0925317526363387,132.01815386536992
1.700,1.875,2.050,-3.0894025517833605,132.01815386541742
1.700,1.875,2.050,-3.0862733509303824,132.01815386546343
1.700,1.875,2.050,-3.083144150077404,132.01815386550803
1.700,1.875,2.050,-3.080014949224426,132.01815386555123
1.700,1.875,2.050,-3.0768857483714482,132.01815386559306
1.700,1.875,2.050,-3.07375654751847,132.01815386563354
1.700,1.875,2.050,-3.070627346665492,132.01815386567264
1.700,1.875,2.050,-3.0674981458125137,132.01815386571047
1.700,1.875,2.050,-3.0643689449595355,132.018153865747
1.700,1.875,2.050,-3.0612397441065573,132.01815386578224
1.700,1.875,2.050,-3.058110543253579,132.0181538658162
1.700,1.875,2.050,-3.054981342400601,132.01815386584897
1.700,1.875,2.050,-3.0518521415476227,132.01815386588052
1.700,1.875,2.050,-3.0487229406946446,132.01815386591088
1.700,1.875,2.050,-3.0455937398416664,132.01815386594004
1.700,1.875,2.050,-3.042464538988688,132.0181538659681
1.700,1.875,2.050,-3.03933533813571,132.018153865995
1.700,1.875,2.050,-3.0362061372827323,132.0181538660208
1.700,1.875,2.050,-3.033076936429754,132.0181538660455
1.700,1.875,2.050,-3.029947735576776,132.01815386606918
1.700,1.875,2.050,-3.0268185347237977,132.01815386609178
1.700,1.875,2.050,-3.0236893338708195,132.01815386611338
1.700,1.875,2.050,-3.0205601330178413,132.01815386613396
1.700,1.875,2.050,-3.017430932164863,132.01815386615357
1.700,1.875,2.050,-3.0143017313118854,132.0181538661722
1.700,1.875,2.050,-3.011172530458907,132.01815386618995
1.700,1.875,2.050,-3.008043329605929,132.01815386620675
1.700,1.875,2.050,-3.004914128752951,132.01815386622263
1.700,1.875,2.050,-3.0017849278999726,132.01815386623767
