log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,dP/dlog10(nu_E [GeV])
3.800,3.975,4.150,                        2.750,2.925,3.100,                        0.0
3.800,3.975,4.150,                        3.100,3.275,3.450,                        0.0
3.800,3.975,4.150,                        3.450,3.625,3.800,                        11.334973843015268
3.800,3.975,4.150,                        3.800,3.975,4.150,                        415.0182432749051
3.800,3.975,4.150,                        4.150,4.325,4.500,                        19.337732097820393
3.800,3.975,4.150,                        4.500,4.675,4.850,                        0.07234602831267231
3.800,3.975,4.150,                        4.850,5.025,5.200,                        0.013847613089668868
3.800,3.975,4.150,                        5.200,5.375,5.550,                        0.0
3.800,3.975,4.150,                        5.550,5.725,5.900,                        0.0
3.800,3.975,4.150,                        5.900,6.075,6.250,                        0.0
3.800,3.975,4.150,                        6.250,6.425,6.600,                        0.0
3.800,3.975,4.150,                        6.600,6.775,6.950,                        0.0
3.800,3.975,4.150,                        6.950,7.125,7.300,                        0.0
3.800,3.975,4.150,                        7.300,7.475,7.650,                        0.0
3.800,3.975,4.150,                        7.650,7.825,8.000,                        0.0
4.150,4.325,4.500,                        1.000,1.175,1.350,                        0.0
4.150,4.325,4.500,                        1.350,1.525,1.700,                        0.0
4.150,4.325,4.500,                        1.700,1.875,2.050,                        0.0
4.150,4.325,4.500,                        2.050,2.225,2.400,                        0.0
4.150,4.325,4.500,                        2.400,2.575,2.750,                        0.0
4.150,4.325,4.500,                        2.750,2.925,3.100,                        0.0
4.150,4.325,4.500,                        3.100,3.275,3.450,                        0.0
4.150,4.325,4.500,                        3.450,3.625,3.800,                        0.0
4.150,4.325,4.500,                        3.800,3.975,4.150,                        23.360880542222382
4.150,4.325,4.500,                        4.150,4.325,4.500,                        420.28274416621946
4.150,4.325,4.500,                        4.500,4.675,4.850,                        13.456592129586436
4.150,4.325,4.500,                        4.850,5.025,5.200,                        0.04264030482918416
4.150,4.325,4.500,                        5.200,5.375,5.550,                        0.0
4.150,4.325,4.500,                        5.550,5.725,5.900,                        0.0
4.150,4.325,4.500,                        5.900,6.075,6.250,                        0.0
4.150,4.325,4.500,                        6.250,6.425,6.600,                        0.0
4.150,4.325,4.500,                        6.600,6.775,6.950,                        0.0
4.150,4.325,4.500,                        6.950,7.125,7.300,                        0.0
4.150,4.325,4.500,                        7.300,7.475,7.650,                        0.0
4.150,4.325,4.500,                        7.650,7.825,8.000,                        0.0
4.500,4.675,4.850,                        1.000,1.175,1.350,                        0.0
4.500,4.675,4.850,                        1.350,1.525,1.700,                        0.0
4.500,4.675,4.850,                        1.700,1.875,2.050,                        0.0
4.500,4.675,4.850,                        2.050,2.225,2.400,                        0.0
4.500,4.675,4.850,                        2.400,2.575,2.750,                        0.0
4.500,4.675,4.850,                        2.750,2.925,3.100,                        0.0
4.500,4.675,4.850,                        3.100,3.275,3.450,                        0.0
4.500,4.675,4.850,                        3.450,3.625,3.800,                        0.0
4.500,4.675,4.850,                        3.800,3.975,4.150,                        0.24954080153748992
4.500,4.675,4.850,                        4.150,4.325,4.500,                        22.990270200196292
4.500,4.675,4.850,                        4.500,4.675,4.850,                        423.0172271506024
4.500,4.675,4.850,                        4.850,5.025,5.200,                        10.844260120403534
4.500,4.675,4.850,                        5.200,5.375,5.550,                        0.041558870117705315
4.500,4.675,4.850,                        5.550,5.725,5.900,                        0.0
4.500,4.675,4.850,                        5.900,6.075,6.250,                        0.0
4.500,4.675,4.850,                        6.250,6.425,6.600,                        0.0
4.500,4.675,4.850,                        6.600,6.775,6.950,                        0.0
4.500,4.675,4.850,                        6.950,7.125,7.300,                        0.0
4.500,4.675,4.850,                        7.300,7.475,7.650,                        0.0
4.500,4.675,4.850,                        7.650,7.825,8.000,                        0.0
4.850,5.025,5.200,                        1.000,1.175,1.350,                        0.0
4.850,5.025,5.200,                        1.350,1.525,1.700,                        0.0
4.850,5.025,5.200,                        1.700,1.875,2.050,                        0.0
4.850,5.025,5.200,                        2.050,2.225,2.400,                        0.0
4.850,5.025,5.200,                        2.400,2.575,2.750,                        0.0
4.850,5.025,5.200,                        2.750,2.925,3.100,                        0.0
4.850,5.025,5.200,                        3.100,3.275,3.450,                        0.0
4.850,5.025,5.200,                        3.450,3.625,3.800,                        0.0
4.850,5.025,5.200,                        3.800,3.975,4.150,                        0.012922671504467841
4.850,5.025,5.200,                        4.150,4.325,4.500,                        0.12140689092852192
