log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
4.5,4.675,4.85,-0.95,-0.925,-0.9,1.0801839806261223e-08
4.5,4.675,4.85,-0.9,-0.875,-0.85,1.2932097743709118e-08
4.5,4.675,4.85,-0.85,-0.825,-0.8,1.5352996404225054e-08
4.5,4.675,4.85,-0.8,-0.775,-0.75,1.756745997907131e-08
4.5,4.675,4.85,-0.75,-0.725,-0.7,1.702895758855273e-08
4.5,4.675,4.85,-0.7,-0.675,-0.65,1.7023511095834744e-08
4.5,4.675,4.85,-0.65,-0.625,-0.6,2.0500890609132568e-08
4.5,4.675,4.85,-0.6,-0.575,-0.55,2.1471815907521462e-08
4.5,4.675,4.85,-0.55,-0.525,-0.5,2.2903936347040387e-08
4.5,4.675,4.85,-0.5,-0.475,-0.45,2.429408367046283e-08
4.5,4.675,4.85,-0.45,-0.425,-0.4,2.5230306356600255e-08
4.5,4.675,4.85,-0.4,-0.375,-0.35,2.3907472231602533e-08
4.5,4.675,4.85,-0.35,-0.325,-0.3,2.3286833391447652e-08
4.5,4.675,4.85,-0.3,-0.275,-0.25,2.1815623937865194e-08
4.5,4.675,4.85,-0.25,-0.225,-0.2,2.0949958759414697e-08
4.5,4.675,4.85,-0.2,-0.175,-0.15,2.3765747100388387e-08
4.5,4.675,4.85,-0.15,-0.125,-0.1,2.3050276028117186e-08
4.5,4.675,4.85,-0.1,-0.075,-0.05,2.193243844247746e-08
4.5,4.675,4.85,-0.05,-0.025,0.0,2.074784657107942e-08
4.5,4.675,4.85,0.0,0.025,0.05,2.010377189737945e-08
4.5,4.675,4.85,0.05,0.075,0.1,1.977612042029668e-08
4.5,4.675,4.85,0.1,0.125,0.15,2.1203032084681624e-08
4.5,4.675,4.85,0.15,0.175,0.2,2.183905091328677e-08
